PastureID_YearOfSurvey,Point_ID,Year,Site,PercentWtRemovedPlot,ObsID,Date,Lat,Lon,PAST_NAME,Utilization,ShrubOverstory,OthShrubCode,MostAbdPerGrass,OthGrassCode,CheatgrassCover,Subsample,EmployeeYear,Position,Original_Site_Assignment,Start_Date,End_Date,Performance_Rating
775,ubibu1640,2016,BIBU,NA,94,7/27/2016,43.39663622,-113.0712495,Butte,50,CHVI8,NA,PSSP6,NA,40,0,Currently Employed,NA,All Sites,NA,NA,NA
743,U_JISA3304,2017,JISA,0,67,8/8/2017,42.17660581,-113.4075956,Sheep Mountain North,2.5,ARNO4,NA,PSSP6,NA,20,1,2017-2018,Range Technician,BIBU,5/1/2017,8/9/2017,Excellent
13,U_BIBU3447,2017,BIBU,NA,3,7/19/2017,43.30985072,-113.171069,Serviceberry,30,ARTRT,NA,AGCR,NA,0,0,2017,Crew Leader,BIBU,2/6/2017,8/25/2017,Excellent
17,ubrbe3158,2016,BRBE,0.513385203,94,8/3/2016,42.02072253,-114.7481493,China Creek BLM #1,13,ARAR8,NA,POSE,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
776,3054,2015,BIBU,NA,94,7/29/2015,43.339009,-113.132438,Serviceberry,50,FEW, ,AGCR, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
17,ubrbe2978,2016,BRBE,NA,94,7/29/2016,42.04038314,-114.7775615,China Creek BLM #1,2.5,ARAR8,NA,POSE,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
5,U_PAVA2031,2018,PAVA,NA,471057389,8/6/2018,44.36021117,-113.5666619,Goldburg NE - Big Gulch,13,ARTRV,NA,PSSP6,NA,10,0,Currently Employed,Graduate Student,All Sites,4/30/2018,NA,Excellent
5,U_PAVA2522,2017,PAVA,0,72,8/10/2017,44.36179215,-113.546689,Goldburg NE - Big Gulch,2.5,ARTRV,NA,PSSP6,NA,0,1,2017,Range Technician,SHCR,4/24/2017,8/25/2017,Average
776,2938,2015,BIBU,NA,94,7/21/2015,43.326784,-113.163442,Serviceberry,2.5,ARTR2, ,AGCR, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
29,U_JISA1162,2017,JISA,NA,65,8/4/2017,42.15688717,-113.411393,Sheep Mountain South,2.5,ARAR8,NA,PSSP6,NA,30,0,2017,Volunteer,BRBE,4/2/2017,6/10/2017,NA
7,U_PAVA130,2017,PAVA,NA,1,8/11/2017,44.29739944,-113.6688712,West River Flat North,2.5,ARAR8,NA,POSE,NA,0,0,Currently Employed,Project Leader,All Sites,10/18/2016,NA,Excellent
7,U_PAVA198 (THIS POINT IS IN AN EXCLOSURE),2017,PAVA,NA,1,8/14/2017,44.30489539,-113.7065002,West River Flat North,2.5,ARTRW8,NA,POSE,NA,0,0,Currently Employed,Project Leader,All Sites,10/18/2016,NA,Excellent
13,U_BIBU3564,2017,BIBU,NA,74,7/20/2017,43.32412746,-113.1598787,Serviceberry,13,ARTRW8,NA,POSE,NA,20,0,2017,Range Technician,BIBU,5/1/2017,8/9/2017,Excellent
823,U_SHCR3220,2018,SHCR,0,109,8/6/2018,42.0701106,-115.8177791,East Blackleg North,2.5,ARTRW8,NA,ELEL5,NA,10,1,2018,Research Technician,SHCR,4/9/2018,8/25/2018,Excellent
17,ubrbe3177,2016,BRBE,NA,94,8/3/2016,42.01888119,-114.7445551,China Creek BLM #1,2.5,ARTRW8,NA,NoGrass,NA,70,0,Currently Employed,NA,All Sites,NA,NA,NA
795,ushcr2423,2016,SHCR,15.45198777,94,7/29/2016,42.11499466,-115.7248902,Slaughterhouse,50,ARTRW8,NA,POSE,NA,20,1,Currently Employed,NA,All Sites,NA,NA,NA
775,ubibu1832,2016,BIBU,5.287130856,94,8/3/2016,43.37529988,-113.1159757,Butte,13,ARTRW8,NA,PSSP6,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
795,uscr2646,2016,SHCR,NA,94,7/29/2016,42.08804212,-115.720536,Slaughterhouse,50,ARTRW8,NA,POSE,NA,20,0,Currently Employed,NA,All Sites,NA,NA,NA
17,U_BRBE2892,2018,BRBE,NA,111,7/31/2018,42.01922476,-114.7293335,China Creek BLM #1,2.5,ARNO4,NA,POSE,NA,0,0,2018,Research Technician,BRBE,4/9/2018,8/25/2018,Average
781,U_SHCR610,2017,SHCR,NA,13,7/21/2017,42.08571458,-115.7395912,(North) Tokum-Bambi East,2.5,ARTRT,NA,OTHER,LECI4,70,0,2017,Wildlife Technician,SHCR,2/27/2017,8/4/2017,Excellent
743,ujisa0796,2016,JISA,0,94,7/22/2016,42.1889844,-113.4246065,Sheep Mountain North,2.5,ARTRW8,NA,POSE,NA,90,1,Currently Employed,NA,All Sites,NA,NA,NA
843,821,2015,SHCR,NA,94,7/27/2015,42.062059,-115.811134,East Blackleg,30,ARTRW, ,PSSP6, ,70,0,Currently Employed,NA,All Sites,NA,NA,NA
29,U_JISA4005,2018,JISA,NA,113,7/23/2018,42.16766878,-113.4234061,Sheep Mountain South,2.5,ARTRT,NA,POSE,NA,70,0,2018,Research Technician,JISA,4/9/2018,8/25/2018,Average
840,2666,2015,JISA,NA,94,7/20/2015,42.186881,-113.409001,Sheep Mountain,2.5,ARAR8, ,POSE, ,60,0,Currently Employed,NA,All Sites,NA,NA,NA
786,U_PAVA2406,2018,PAVA,NA,95,8/9/2018,44.37681293,-113.7211304,River,2.5,ARTRW8,NA,POSE,NA,0,0,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
17,56,2015,BRBE,NA,94,7/28/2015,42.000516,-114.790095,China Creek BLM #1,2.5,ARAR8, ,POSE, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
843,ushcr2345,2016,SHCR,NA,94,7/19/2016,42.07222083,-115.8457492,East Blackleg,2.5,ARAR8,NA,FEID,NA,20,0,Currently Employed,NA,All Sites,NA,NA,NA
804,U_BIBU4331,2018,BIBU,NA,97,7/27/2018,43.42803764,-113.0781207,Frenchman South,2.5,ARTRW8,NA,PSSP6,NA,20,0,2018,Crew Leader,BIBU,2/20/2018,8/25/2018,Excellent
4,U_PAVA1472,2018,PAVA,NA,471057391,7/20/2018,44.33671216,-113.6046259,Goldburg SW - Donkey Creek,2.5,ARAR8,NA,POSE,NA,0,0,Currently Employed,Volunteer,All Sites,1/1/2014,NA,NA
775,ubibu1751,2016,BIBU,NA,94,7/27/2016,43.38226274,-113.0788895,Butte,13,ARTRW8,NA,PSSP6,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
22,U_SGCR677,2017,SHCR,0,13,7/31/2017,42.09163022,-115.8244433,(North) Tokum-Bambi West,2.5,ARTRW8,NA,PSSP6,NA,30,1,2017,Wildlife Technician,SHCR,2/27/2017,8/4/2017,Excellent
781,U_SHCR683,2017,SHCR,NA,72,7/24/2017,42.09244022,-115.7700609,(North) Tokum-Bambi East,2.5,ARTRW8,NA,PSSP6,NA,40,0,2017,Range Technician,SHCR,4/24/2017,8/25/2017,Average
840,2560,2015,JISA,NA,94,7/22/2015,42.173634,-113.402527,Sheep Mountain,13,ARTRW, ,ELEL5, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
7,U_PAVA152,2017,PAVA,NA,1,8/11/2017,44.29921437,-113.6612425,West River Flat North,2.5,ARAR8,NA,POSE,NA,0,0,Currently Employed,Project Leader,All Sites,10/18/2016,NA,Excellent
17,143,2015,BRBE,NA,94,7/29/2015,42.010504,-114.730384,China Creek BLM #1,2.5,ARAR8, ,ELEL5, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
843,1055,2015,SHCR,NA,94,7/29/2015,42.071347,-115.847667,East Blackleg,30,ARAR8, ,PSSP6, ,40,0,Currently Employed,NA,All Sites,NA,NA,NA
12,U_BIBU0950,2018,BIBU,4.550303706,101,7/19/2018,43.36679633,-113.0851461,Butte South,30,ARTRW8,NA,PSSP6,NA,20,1,2018,Wildlife Technician,BIBU,2/26/2018,8/15/2018,Excellent
795,1956,2015,SHCR,NA,94,7/30/2015,42.109784,-115.691471,Slaughterhouse,30,ARTRW, ,PSSP6, ,30,0,Currently Employed,NA,All Sites,NA,NA,NA
17,U_BRBE2850,2018,BRBE,NA,111,7/30/2018,42.01351855,-114.7655354,China Creek BLM #1,2.5,ATCO,NA,POSE,NA,50,0,2018,Research Technician,BRBE,4/9/2018,8/25/2018,Average
17,31,2015,BRBE,NA,94,7/29/2015,41.997548,-114.741667,China Creek BLM #1,2.5,ARTRW, ,POSE, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
781,U_SHCR686,2017,SHCR,NA,13,7/20/2017,42.09273912,-115.751794,(North) Tokum-Bambi East,2.5,ARTRW8,NA,ELEL5,NA,30,0,2017,Wildlife Technician,SHCR,2/27/2017,8/4/2017,Excellent
5,U_PAVA2380,2017,PAVA,NA,59,8/10/2017,44.34014691,-113.5406734,Goldburg NE - Big Gulch,2.5,ARTR4,NA,POSE,NA,0,0,2016-2018,Crew Leader,BRBE,NA,NA,NA
743,U_JISA4098,2018,JISA,NA,471057386,7/23/2018,42.18564785,-113.4171994,Sheep Mountain North,2.5,ARNO4,NA,PSSP6,NA,10,0,2018,Research Technician,SHCR,5/14/2018,NA,Average
795,686,2015,SHCR,NA,94,8/2/2015,42.056045,-115.732382,Slaughterhouse,30,ARTRW, ,POSE, ,20,0,Currently Employed,NA,All Sites,NA,NA,NA
776,2809,2015,BIBU,NA,94,7/28/2015,43.314854,-113.145185,Serviceberry,2.5,ARTR2, ,PSSP6, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
16,U_BRBE3052,2017,BRBE,20.79590784,71,7/27/2017,42.13613163,-114.7512781,Indian Cave South,13,ARNO4,NA,POSE,NA,10,1,2017,Range Technician,JISA,5/1/2017,7/26/2017,Average
795,1021,2015,SHCR,NA,94,7/29/2015,42.070138,-115.702675,Slaughterhouse,30,ARTRW, ,PSSP6, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
24,U_SHCR2743,2017,SHCR,0,13,7/26/2017,42.0860987,-115.7154155,Slaughterhouse North,2.5,CHVI8,NA,POSE,NA,90,1,2017,Wildlife Technician,SHCR,2/27/2017,8/4/2017,Excellent
619,2192,2015,SHCR,NA,94,7/21/2015,42.133636,-115.78899,Tokum-Bambi West Non-Treatment (North),2.5,ARTRW, ,POSE, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
795,427,2015,SHCR,NA,94,7/30/2015,42.044029,-115.689738,Slaughterhouse,30,ARTRW, ,PSSP6, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
2,U_PAVA4334,2017,PAVA,8.54299394,69,7/31/2017,44.38243329,-113.6838243,River East,30,OTHER,ARFR,POSE,NA,0,1,2017,Range Technician,PAVA,5/8/2017,8/11/2017,Excellent
4,U_PAVA1724,2018,PAVA,0,112,7/24/2018,44.34758392,-113.5893915,Goldburg SW - Donkey Creek,2.5,ARAR8,NA,PSSP6,NA,0,1,2018,Research Technician,PAVA,4/9/2018,8/10/2018,Excellent
13,U_BIBU3641,2017,BIBU,NA,74,7/20/2017,43.3330625,-113.1597362,Serviceberry,2.5,ARTRW8,NA,POSE,NA,10,0,2017,Range Technician,BIBU,5/1/2017,8/9/2017,Excellent
743,ujisa0865,2016,JISA,NA,94,7/26/2016,42.17097232,-113.4129825,Sheep Mountain North,13,ARAR8,NA,POSE,NA,30,0,Currently Employed,NA,All Sites,NA,NA,NA
777,ubibu0407,2016,BIBU,0,94,7/21/2016,43.33340917,-113.0655334,Sunset,2.5,ARTR4,NA,PSSP6,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
26,U_BRBE3935,2018,BRBE,NA,95,7/19/2018,42.1575307,-114.7732139,Indian Cave North,2.5,ARTRW8,NA,STIPA,NA,30,0,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
777,ubibu0498,2016,BIBU,NA,94,7/21/2016,43.32078328,-113.0658238,Sunset,2.5,ARTR4,NA,PSSP6,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
13,U_BIBU4200,2018,BIBU,NA,101,7/26/2018,43.32065984,-113.1721577,Serviceberry,2.5,ARTR4,NA,POSE,NA,50,0,2018,Wildlife Technician,BIBU,2/26/2018,8/15/2018,Excellent
781,U_SHCR570,2017,SHCR,0,72,7/21/2017,42.08203891,-115.7455571,(North) Tokum-Bambi East,2.5,ARTRW8,NA,PSSP6,NA,40,1,2017,Range Technician,SHCR,4/24/2017,8/25/2017,Average
2,U_PAVA4404,2017,PAVA,NA,74,8/2/2017,44.38732969,-113.6571083,River East,2.5,ARTRW8,NA,POSE,NA,0,0,2017,Range Technician,BIBU,5/1/2017,8/9/2017,Excellent
7,U_PAVA248,2017,PAVA,0,3,8/14/2017,44.30831806,-113.6913442,West River Flat North,13,ARTRW8,NA,POSE,NA,0,1,2017,Crew Leader,BIBU,2/6/2017,8/25/2017,Excellent
21,U_BIBU0563,2018,BIBU,0,101,8/8/2018,43.33779639,-113.0485714,Sunset North,13,ARTR4,NA,POSE,NA,40,1,2018,Wildlife Technician,BIBU,2/26/2018,8/15/2018,Excellent
795,1218,2015,SHCR,NA,94,7/30/2015,42.078228,-115.690683,Slaughterhouse,30,ARTRW, ,POSE, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
743,ujisa0794,2016,JISA,NA,94,7/25/2016,42.1908404,-113.4067315,Sheep Mountain North,2.5,ARAR8,NA,AGCR,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
21,U_BIBU1766,2017,BIBU,NA,67,7/27/2017,43.34679494,-113.0546274,Sunset North,2.5,ARTRW8,NA,POSE,NA,10,0,2017-2018,Range Technician,BIBU,5/1/2017,8/9/2017,Excellent
786,U_PAVA2532,2018,PAVA,NA,98,8/1/2018,44.38390721,-113.6947895,River,13,ARTRT,NA,POSE,NA,10,0,2018,Crew Leader,PAVA,2/20/2018,8/25/2018,Excellent
22,U_SHCR712,2017,SHCR,0,59,7/31/2017,42.09508286,-115.8304572,(North) Tokum-Bambi West,2.5,ARTRW8,NA,PSSP6,NA,60,1,2016-2018,Crew Leader,BRBE,NA,NA,NA
17,ubrbe3104,2016,BRBE,NA,94,8/1/2016,42.02628903,-114.7590657,China Creek BLM #1,30,ARNO4,NA,POSE,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
26,U_BRBE3295,2017,BRBE,4.05867256,68,7/20/2017,42.17558354,-114.7553761,Indian Cave North,13,ARNO4,NA,POSE,NA,10,1,2017,Range Technician,BRBE,4/24/2017,5/11/2018,Average
777,ubibu0417,2016,BIBU,NA,94,7/21/2016,43.33167203,-113.0778584,Sunset,2.5,ARTR4,NA,PSSP6,NA,20,0,Currently Employed,NA,All Sites,NA,NA,NA
22,U_SHCR0232,2018,SHCR,NA,471057386,8/1/2018,42.10682554,-115.7740646,Tokum-Bambi West,13,ARTRW8,NA,POSE,NA,20,0,2018,Research Technician,SHCR,5/14/2018,NA,Average
795,ushcr2740,2016,SHCR,NA,94,7/28/2016,42.0759263,-115.6839987,Slaughterhouse,13,ARTRW8,NA,POSE,NA,90,0,Currently Employed,NA,All Sites,NA,NA,NA
17,U_BRBE2777,2018,BRBE,NA,111,7/31/2018,42.00103147,-114.7410767,China Creek BLM #1,2.5,ARTRW8,NA,POSE,NA,0,0,2018,Research Technician,BRBE,4/9/2018,8/25/2018,Average
743,U_JISA4040,2018,JISA,0,471057386,7/23/2018,42.17306785,-113.417314,Sheep Mountain North,2.5,ARAR8,NA,PSSP6,NA,10,1,2018,Research Technician,SHCR,5/14/2018,NA,Average
825,ujisa2153,2016,JISA,NA,94,7/20/2016,42.17337726,-113.4524747,Kane Springs (Line Canyon),30,ARAR8,NA,PSSP6,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
13,U_BIBU3539,2017,BIBU,0,67,7/21/2017,43.32034413,-113.1340819,Serviceberry,2.5,ARTR4,NA,POSE,NA,10,1,2017-2018,Range Technician,BIBU,5/1/2017,8/9/2017,Excellent
795,ushcr2615,2016,SHCR,NA,94,8/4/2016,42.09195315,-115.7096178,Slaughterhouse,13,ARTRW8,NA,PSSP6,NA,10,0,Currently Employed,NA,All Sites,NA,NA,NA
843,ushcr2312,2016,SHCR,NA,94,7/19/2016,42.08109012,-115.8533491,East Blackleg,2.5,ARTRW8,NA,PSSP6,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
22,U_SHCR0162,2018,SHCR,NA,109,8/1/2018,42.10120244,-115.7847819,Tokum-Bambi West,2.5,CHVI8,NA,PSSP6,NA,80,0,2018,Research Technician,SHCR,4/9/2018,8/25/2018,Excellent
16,ubrbe1033,2016,BRBE,NA,94,7/22/2016,42.13174027,-114.7501245,Indian Cave South,2.5,ARNO4,NA,ELEL5,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
843,1343,2015,SHCR,NA,94,7/29/2015,42.083092,-115.847958,East Blackleg,2.5,ARAR8, ,FEID, ,40,0,Currently Employed,NA,All Sites,NA,NA,NA
776,3019,2015,BIBU,NA,94,7/28/2015,43.334653,-113.138718,Serviceberry,13,ARTRW, ,AGCR, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
7,U_PAVA128,2017,PAVA,NA,1,8/14/2017,44.29754358,-113.6763136,West River Flat North,13,ARTRW8,NA,POSE,NA,0,0,Currently Employed,Project Leader,All Sites,10/18/2016,NA,Excellent
781,U_SHCR929,2017,SHCR,NA,59,7/21/2017,42.11602739,-115.75869,(North) Tokum-Bambi East,2.5,ARTRW8,NA,ELEL5,NA,70,0,2016-2018,Crew Leader,BRBE,NA,NA,NA
