"","PointID","AvgMaxHt","SdMaxHt","AvgMaxLeaf","SdMaxLeaf","AvgEff_Ht","SdEff_Ht","AvgRemoved","SdRemoved","n","TheorID","Year","Date","PastureName","PastureID_YearOfSurvey","ObsID1","ObsID2","StartTime","EndTime","New_YearOfSurveyID","New_CurrentYearID","Site","Treatment","ALLOT_NAME","PAST_NAME","Area_ha","StudyPasture_Yes_No","YearStudyStart","YearStudyEnd","ADMIN_ORG_","Shape_Length","Shape_Area","PreTrt_Pasture_Yes_No","Grazed2018","CombinedPasture","Pst_2015Earlier","Pst_2016","DomShrub","Pst_2018","Pst_2019","Comment","Position","HomeState","Original_Site_Assignment","Start_Date","End_Date","Performance_Rating","minsatplot","daysemployeed","AvgShrubHt","PctShrubCover","Species"
"15","BIBU078_17",51.8076923076923,28.036644709263,32.6410256410256,23.1230330768837,1.97435897435897,2.32420554210066,0.448717948717949,1.83506563028843,78,"BIBU078",2017,2017-08-04,"Serviceberry",13,74,3,1899-12-30 12:45:00,1899-12-30 13:25:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Range Technician","NE","BIBU",2017-05-01,2017-08-09,"Excellent",40,100,38.6666666666667,20.3166666666667,"ARTR4"
"16","BIBU078_18",44.0144927536232,15.2821433221368,29.8695652173913,20.8875934492775,2.85507246376812,2.19139602509209,0,0,69,"BIBU078",2018,2018-07-20,"Serviceberry",NA,97,94,1899-12-30 12:45:00,1899-12-30 13:46:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Crew Leader","MS","BIBU",2018-02-20,2018-08-25,"Excellent",61,185.958333333333,35.2222222222222,12.9,"ARTR4"
"17","BIBU079_15",25.3818181818182,12.6600727121704,8.18181818181818,3.85424685966258,1.72727272727273,1.11312947991563,2.54545454545455,5.92176832266681,55,"BIBU079",2015,2015-07-29,"Serviceberry",776,60,60,NA,NA,776,12,"BIBU","Spring Even Years","Big Butte","Butte South",1711.4171143,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19299.3565395558,17114170.7387816,"No","Yes","No",0,0,1,1,1,"Includes a small section of Serviceberry.Study originally began 2017, currently on hold ","Wildlife Technician",NA,"BIBU",NA,NA,NA,NA,NA,NA,5.01666666666667,"ARTRW8"
"18","BIBU079_16",37.1774193548387,17.612890392698,18.5,11.3393988911721,7.40322580645161,5.80406775790389,5.5,9.16649279517168,62,"BIBU079",2016,2016-07-28,"Serviceberry",776,83,94,1899-12-30 08:31:00,1899-12-30 09:29:00,776,12,"BIBU","Spring Even Years","Big Butte","Butte South",1711.4171143,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19299.3565395558,17114170.7387816,"No","Yes","No",0,0,1,1,1,"Includes a small section of Serviceberry.Study originally began 2017, currently on hold ","Volunteer","WI","JISA",2016-05-25,2016-08-05,"Excellent",58,72,NA,7.65,"ARTR4"
"19","BIBU079_18",49.4067796610169,15.1783859985039,28.3220338983051,20.0365533875965,2.10169491525424,1.47033793036038,5.08474576271186,8.58484658468192,59,"BIBU079",2018,2018-07-31,"Butte South",NA,97,94,1899-12-30 11:50:00,1899-12-30 12:35:00,12,12,"BIBU","Spring Even Years","Big Butte","Butte South",1711.4171143,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19299.3565395558,17114170.7387816,"No","Yes","No",0,0,1,1,1,"Includes a small section of Serviceberry.Study originally began 2017, currently on hold ","Crew Leader","MS","BIBU",2018-02-20,2018-08-25,"Excellent",45,185.958333333333,37,7.13333333333333,"ARTR4"
"20","BIBU080_15",28.8771929824561,11.4143865604499,14.280701754386,5.51541471684105,1.80701754385965,0.989924176231047,0,0,57,"BIBU080",2015,2015-07-22,"Serviceberry",776,32,32,NA,NA,776,12,"BIBU","Spring Even Years","Big Butte","Butte South",1711.4171143,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19299.3565395558,17114170.7387816,"No","Yes","No",0,0,1,1,1,"Includes a small section of Serviceberry.Study originally began 2017, currently on hold ","Technician","81","BIBU",NA,NA,NA,NA,NA,NA,16.5,"ARTR4"
"21","BIBU080_16",22.8857142857143,14.534858506406,12.2428571428571,6.95625193576173,4.54285714285714,2.39979295173149,0.885714285714286,3.70484546468328,70,"BIBU080",2016,2016-07-28,"Serviceberry",776,83,94,1899-12-30 11:20:00,1899-12-30 12:20:00,776,12,"BIBU","Spring Even Years","Big Butte","Butte South",1711.4171143,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19299.3565395558,17114170.7387816,"No","Yes","No",0,0,1,1,1,"Includes a small section of Serviceberry.Study originally began 2017, currently on hold ","Volunteer","WI","JISA",2016-05-25,2016-08-05,"Excellent",60,72,NA,21.9,"ARTR4"
"22","BIBU080_18",35.1388888888889,11.6126516188717,16.8888888888889,8.8485783939068,2.91666666666667,1.96267997290856,3.95833333333333,8.83086377029888,72,"BIBU080",2018,2018-08-01,"Butte South",NA,101,471057387,1899-12-30 09:29:00,1899-12-30 09:59:00,12,12,"BIBU","Spring Even Years","Big Butte","Butte South",1711.4171143,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19299.3565395558,17114170.7387816,"No","Yes","No",0,0,1,1,1,"Includes a small section of Serviceberry.Study originally began 2017, currently on hold ","Wildlife Technician","CT","BIBU",2018-02-26,2018-08-15,"Excellent",30,169.958333333333,24.0491803278689,23.8,"ARTR4"
"23","BIBU081_15",40.3090909090909,22.1667691954795,13.3090909090909,7.73609320310569,3.01818181818182,1.50911930523769,1.81818181818182,5.96002395313018,55,"BIBU081",2015,2015-07-22,"Serviceberry",776,61,61,NA,NA,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Project Field Coordinator","WI","All Sites",NA,2016-08-29,"Excellent",NA,NA,NA,12.6833333333333,"ARTRW8"
"24","BIBU081_16",35.25,15.8896764656118,22.125,11.2590367745607,4.64285714285714,2.54721645886479,0,0,56,"BIBU081",2016,2016-07-25,"Serviceberry",776,37,94,1899-12-30 12:16:00,1899-12-30 12:57:00,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Crew Leader",NA,"BIBU",NA,NA,NA,41,NA,NA,18.25,"ARTR4"
"25","BIBU082_15",35.9846153846154,14.2571169811917,15.5230769230769,7.06024896052649,2.13846153846154,1.04398460053482,0,0,65,"BIBU082",2015,2015-07-22,"Serviceberry",776,32,32,NA,NA,776,12,"BIBU","Spring Even Years","Big Butte","Butte South",1711.4171143,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19299.3565395558,17114170.7387816,"No","Yes","No",0,0,1,1,1,"Includes a small section of Serviceberry.Study originally began 2017, currently on hold ","Technician","81","BIBU",NA,NA,NA,NA,NA,NA,7.18333333333333,"ARTR4"
"26","BIBU082_16",31.5357142857143,15.2437594804598,16.4642857142857,7.68733339099923,6.47619047619048,4.72235440175892,3.22619047619048,8.37861763690469,84,"BIBU082",2016,2016-07-28,"Serviceberry",776,83,94,1899-12-30 12:39:00,1899-12-30 13:47:00,776,12,"BIBU","Spring Even Years","Big Butte","Butte South",1711.4171143,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19299.3565395558,17114170.7387816,"No","Yes","No",0,0,1,1,1,"Includes a small section of Serviceberry.Study originally began 2017, currently on hold ","Volunteer","WI","JISA",2016-05-25,2016-08-05,"Excellent",68,72,NA,13.3333333333333,"ARTR4"
"27","BIBU082_18",44.4848484848485,13.6452216761793,18.2272727272727,12.2358809742815,3.31818181818182,2.32814941966355,11.2121212121212,17.7820264930763,66,"BIBU082",2018,2018-08-01,"Butte South",NA,97,10,1899-12-30 10:00:00,1899-12-30 10:31:00,12,12,"BIBU","Spring Even Years","Big Butte","Butte South",1711.4171143,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19299.3565395558,17114170.7387816,"No","Yes","No",0,0,1,1,1,"Includes a small section of Serviceberry.Study originally began 2017, currently on hold ","Crew Leader","MS","BIBU",2018-02-20,2018-08-25,"Excellent",31,185.958333333333,26.4285714285714,14.8,"ARTR4"
"28","BIBU083_15",25.4146341463415,10.6159681841933,11.5365853658537,5.28250679590481,2.24390243902439,1.47953519398624,11.3414634146341,20.1873843725451,41,"BIBU083",2015,2015-07-28,"Serviceberry",776,60,60,NA,NA,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Wildlife Technician",NA,"BIBU",NA,NA,NA,NA,NA,NA,7.5,"ARTR4"
"29","BIBU083_16",47.4,12.7295474903998,22.9333333333333,7.17723091994126,10.9666666666667,5.48655619223705,10,16.400168207716,30,"BIBU083",2016,2016-07-27,"Serviceberry",776,83,94,1899-12-30 11:14:00,1899-12-30 12:02:00,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Volunteer","WI","JISA",2016-05-25,2016-08-05,"Excellent",48,72,NA,26.2333333333333,"ARTRW8"
"30","BIBU083_18",48.8983050847458,12.2075371224082,29.9152542372881,14.8953685646119,2.67796610169492,1.20974032502992,0.847457627118644,4.65652511896139,59,"BIBU083",2018,2018-07-25,"Serviceberry",NA,97,94,1899-12-30 08:14:00,1899-12-30 08:56:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Crew Leader","MS","BIBU",2018-02-20,2018-08-25,"Excellent",42,185.958333333333,44.6666666666667,8.68333333333333,"ARTRT"
"31","BIBU084_15",42.0892857142857,15.1480893313187,18.4642857142857,13.1687844206245,4.69642857142857,3.89367619168753,2.32142857142857,8.47264505840497,56,"BIBU084",2015,2015-07-28,"Serviceberry",776,60,60,NA,NA,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Wildlife Technician",NA,"BIBU",NA,NA,NA,NA,NA,NA,5.13333333333333,"ARTRW8"
"32","BIBU084_16",37.9868421052632,15.5250278978194,17.0131578947368,13.2880833040261,5.36842105263158,5.08551434373662,4.47368421052632,11.2421512582015,76,"BIBU084",2016,2016-07-27,"Serviceberry",776,83,94,1899-12-30 08:03:00,1899-12-30 09:14:00,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Volunteer","WI","JISA",2016-05-25,2016-08-05,"Excellent",71,72,NA,5.58333333333333,"ARTR4"
"33","BIBU084_17",39.8333333333333,15.050150904676,25.6527777777778,13.965913960019,1.40277777777778,0.929329945231967,2.22222222222222,8.2175048853938,72,"BIBU084",2017,2017-08-04,"Serviceberry",13,74,3,1899-12-30 14:00:00,1899-12-30 14:36:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Range Technician","NE","BIBU",2017-05-01,2017-08-09,"Excellent",36,100,38.7333333333333,8.23333333333333,"ARTRW8"
"34","BIBU084_18",46.4931506849315,13.8284361689873,29.3424657534247,16.4934491862023,2.61643835616438,2.54749406817705,0.479452054794521,3.55164120529391,73,"BIBU084",2018,2018-07-25,"Serviceberry",NA,97,94,1899-12-30 09:19:00,1899-12-30 10:06:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Crew Leader","MS","BIBU",2018-02-20,2018-08-25,"Excellent",47,185.958333333333,40.9,6.71666666666667,"ARTR4"
"35","BIBU085_15",31.9529411764706,13.5391019980339,13.6235294117647,7.86338178579952,2.23529411764706,1.77043886692329,0.941176470588235,4.90954595218159,85,"BIBU085",2015,2015-07-28,"Serviceberry",776,60,60,NA,NA,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Wildlife Technician",NA,"BIBU",NA,NA,NA,NA,NA,NA,35.6,"ARTRW8"
"36","BIBU085_16",34.4047619047619,13.9733990376543,15.9761904761905,9.3318681744832,4.27380952380952,3.20899034707477,3.22619047619048,7.78220272728634,84,"BIBU085",2016,2016-07-27,"Serviceberry",776,83,94,1899-12-30 09:27:00,1899-12-30 10:38:00,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Volunteer","WI","JISA",2016-05-25,2016-08-05,"Excellent",71,72,NA,23.3166666666667,"ARTRW8"
"37","BIBU085_17",41.9054054054054,15.3579829930306,28.9324324324324,13.8794527161863,1.45945945945946,0.814074635419002,0.135135135135135,1.16247638743819,74,"BIBU085",2017,2017-07-28,"Serviceberry",13,74,94,1899-12-30 14:24:00,1899-12-30 15:11:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Range Technician","NE","BIBU",2017-05-01,2017-08-09,"Excellent",47,100,46.6530612244898,34.9,"ARTRW8"
"38","BIBU086_15",41.6666666666667,13.9038908877401,19.6444444444444,9.11580933312999,3.84444444444444,1.85809721288345,0.111111111111111,0.74535599249993,45,"BIBU086",2015,2015-07-22,"Serviceberry",776,61,61,NA,NA,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Project Field Coordinator","WI","All Sites",NA,2016-08-29,"Excellent",NA,NA,NA,25.6833333333333,"ARTR4"
"39","BIBU086_16",51.2325581395349,17.2831285876227,29.8604651162791,9.72865525711798,6.76744186046512,4.0109208615047,0,0,43,"BIBU086",2016,2016-07-29,"Serviceberry",776,37,94,1899-12-30 11:53:00,1899-12-30 12:26:00,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Crew Leader",NA,"BIBU",NA,NA,NA,33,NA,NA,8.85,"ARTR4"
"40","BIBU086_17",49.6274509803922,18.0665002524714,33.9019607843137,16.7059928192979,1.47058823529412,0.611651573249692,10.7843137254902,21.9402039420696,51,"BIBU086",2017,2017-08-04,"Serviceberry",13,74,3,1899-12-30 10:56:00,1899-12-30 11:26:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Range Technician","NE","BIBU",2017-05-01,2017-08-09,"Excellent",30,100,42.2777777777778,19.9166666666667,"ARTR4"
"41","BIBU086_18",49.5555555555556,13.8118436528077,29.9365079365079,16.6150660506322,6.01587301587302,3.75238446123332,0.444444444444444,1.24145827074164,63,"BIBU086",2018,2018-07-30,"Serviceberry",NA,471057387,94,1899-12-30 12:44:00,1899-12-30 14:10:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Research Technician","AL","BIBU",2018-04-09,NA,"Poor",86,NA,36.8478260869565,24.7666666666667,"ARTR4"
"42","BIBU087_15",26.8305084745763,13.955783058341,9.33898305084746,6.11558261101275,1.91525423728814,1.26338537535574,6.1864406779661,15.4902356076906,59,"BIBU087",2015,2015-07-29,"Serviceberry",776,60,60,NA,NA,776,12,"BIBU","Spring Even Years","Big Butte","Butte South",1711.4171143,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19299.3565395558,17114170.7387816,"No","Yes","No",0,0,1,1,1,"Includes a small section of Serviceberry.Study originally began 2017, currently on hold ","Wildlife Technician",NA,"BIBU",NA,NA,NA,NA,NA,NA,9.46666666666667,"ARTR4"
